       origin,            N,           r0,   integrator,           ic,           dt,          div,           cc,          mcc,            t,       parity,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,           10,     0.005000,        naive,       circle,     0.100000,          100,            0,            0,     0.000000,            0,            1,     0.750000,     0.500000,    -1.000000,    -0.000000,            2,     0.702254,     0.646946,    -0.809020,    -0.587790,            3,     0.577254,     0.737764,    -0.309020,    -0.951060,            4,     0.422746,     0.737764,     0.309020,    -0.951060,            5,     0.297746,     0.646946,     0.809020,    -0.587790,            6,     0.250000,     0.500000,     1.000000,    -0.000000,            7,     0.297746,     0.353054,     0.809020,     0.587790,            8,     0.422746,     0.262236,     0.309020,     0.951060,            9,     0.577254,     0.262236,    -0.309020,     0.951060,           10,     0.702254,     0.353054,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.032258,            0,            1,     0.717742,     0.500000,    -1.000000,    -0.000000,            2,     0.676157,     0.627985,    -0.809020,    -0.587790,            3,     0.567286,     0.707085,    -0.309020,    -0.951060,            4,     0.432714,     0.707085,     0.309020,    -0.951060,            5,     0.323843,     0.627985,     0.809020,    -0.587790,            6,     0.282258,     0.500000,     1.000000,    -0.000000,            7,     0.323843,     0.372015,     0.809020,     0.587790,            8,     0.432714,     0.292915,     0.309020,     0.951060,            9,     0.567286,     0.292915,    -0.309020,     0.951060,           10,     0.676157,     0.372015,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.064516,            0,            1,     0.685484,     0.500000,    -1.000000,    -0.000000,            2,     0.650059,     0.609024,    -0.809020,    -0.587790,            3,     0.557317,     0.676405,    -0.309020,    -0.951060,            4,     0.442683,     0.676405,     0.309020,    -0.951060,            5,     0.349941,     0.609024,     0.809020,    -0.587790,            6,     0.314516,     0.500000,     1.000000,    -0.000000,            7,     0.349941,     0.390976,     0.809020,     0.587790,            8,     0.442683,     0.323595,     0.309020,     0.951060,            9,     0.557317,     0.323595,    -0.309020,     0.951060,           10,     0.650059,     0.390976,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.096774,            0,            1,     0.653226,     0.500000,    -1.000000,    -0.000000,            2,     0.623962,     0.590063,    -0.809020,    -0.587790,            3,     0.547349,     0.645726,    -0.309020,    -0.951060,            4,     0.452651,     0.645726,     0.309020,    -0.951060,            5,     0.376038,     0.590063,     0.809020,    -0.587790,            6,     0.346774,     0.500000,     1.000000,    -0.000000,            7,     0.376038,     0.409937,     0.809020,     0.587790,            8,     0.452651,     0.354274,     0.309020,     0.951060,            9,     0.547349,     0.354274,    -0.309020,     0.951060,           10,     0.623962,     0.409937,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.129032,            0,            1,     0.620968,     0.500000,    -1.000000,    -0.000000,            2,     0.597865,     0.571102,    -0.809020,    -0.587790,            3,     0.537381,     0.615047,    -0.309020,    -0.951060,            4,     0.462619,     0.615047,     0.309020,    -0.951060,            5,     0.402135,     0.571102,     0.809020,    -0.587790,            6,     0.379032,     0.500000,     1.000000,    -0.000000,            7,     0.402135,     0.428898,     0.809020,     0.587790,            8,     0.462619,     0.384953,     0.309020,     0.951060,            9,     0.537381,     0.384953,    -0.309020,     0.951060,           10,     0.597865,     0.428898,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.161290,            0,            1,     0.588710,     0.500000,    -1.000000,    -0.000000,            2,     0.571767,     0.552141,    -0.809020,    -0.587790,            3,     0.527412,     0.584367,    -0.309020,    -0.951060,            4,     0.472588,     0.584367,     0.309020,    -0.951060,            5,     0.428233,     0.552141,     0.809020,    -0.587790,            6,     0.411290,     0.500000,     1.000000,    -0.000000,            7,     0.428233,     0.447859,     0.809020,     0.587790,            8,     0.472588,     0.415633,     0.309020,     0.951060,            9,     0.527412,     0.415633,    -0.309020,     0.951060,           10,     0.571767,     0.447859,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.193548,            0,            1,     0.556452,     0.500000,    -1.000000,    -0.000000,            2,     0.545670,     0.533181,    -0.809020,    -0.587790,            3,     0.517444,     0.553688,    -0.309020,    -0.951060,            4,     0.482556,     0.553688,     0.309020,    -0.951060,            5,     0.454330,     0.533181,     0.809020,    -0.587790,            6,     0.443548,     0.500000,     1.000000,    -0.000000,            7,     0.454330,     0.466819,     0.809020,     0.587790,            8,     0.482556,     0.446312,     0.309020,     0.951060,            9,     0.517444,     0.446312,    -0.309020,     0.951060,           10,     0.545670,     0.466819,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,            0,            0,     0.225806,            0,            1,     0.524194,     0.500000,    -1.000000,    -0.000000,            2,     0.519572,     0.514220,    -0.809020,    -0.587790,            3,     0.507476,     0.523009,    -0.309020,    -0.951060,            4,     0.492524,     0.523009,     0.309020,    -0.951060,            5,     0.480428,     0.514220,     0.809020,    -0.587790,            6,     0.475806,     0.500000,     1.000000,    -0.000000,            7,     0.480428,     0.485780,     0.809020,     0.587790,            8,     0.492524,     0.476991,     0.309020,     0.951060,            9,     0.507476,     0.476991,    -0.309020,     0.951060,           10,     0.519572,     0.485780,    -0.809020,     0.587790,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.258065,            0,            1,     0.545351,     0.503909,     1.254690,     0.133134,            2,     0.529717,     0.532162,     0.727903,     0.975649,            3,     0.501842,     0.539967,    -0.126416,     1.068854,            4,     0.480887,     0.526769,    -0.619772,     0.498765,            5,     0.475813,     0.513241,    -0.488701,     0.155867,            6,     0.473569,     0.500669,    -0.439849,     0.015201,            7,     0.475178,     0.486866,    -0.495370,    -0.156032,            8,     0.480447,     0.472487,    -0.612391,    -0.512857,            9,     0.497038,     0.455805,    -0.324482,    -1.207214,           10,     0.540159,     0.468125,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.290323,            0,            1,     0.585825,     0.508204,     1.254690,     0.133134,            2,     0.553198,     0.563634,     0.727903,     0.975649,            3,     0.497764,     0.574446,    -0.126416,     1.068854,            4,     0.460894,     0.542858,    -0.619772,     0.498765,            5,     0.460048,     0.518269,    -0.488701,     0.155867,            6,     0.459380,     0.501159,    -0.439849,     0.015201,            7,     0.459198,     0.481832,    -0.495370,    -0.156032,            8,     0.460693,     0.455943,    -0.612391,    -0.512857,            9,     0.486571,     0.416862,    -0.324482,    -1.207214,           10,     0.576430,     0.436791,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.322581,            0,            1,     0.626299,     0.512498,     1.254690,     0.133134,            2,     0.576679,     0.595107,     0.727903,     0.975649,            3,     0.493686,     0.608926,    -0.126416,     1.068854,            4,     0.440901,     0.558947,    -0.619772,     0.498765,            5,     0.444284,     0.523297,    -0.488701,     0.155867,            6,     0.445191,     0.501650,    -0.439849,     0.015201,            7,     0.443218,     0.476799,    -0.495370,    -0.156032,            8,     0.440938,     0.439400,    -0.612391,    -0.512857,            9,     0.476103,     0.377920,    -0.324482,    -1.207214,           10,     0.612700,     0.405457,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.354839,            0,            1,     0.666773,     0.516793,     1.254690,     0.133134,            2,     0.600160,     0.626579,     0.727903,     0.975649,            3,     0.489608,     0.643405,    -0.126416,     1.068854,            4,     0.420909,     0.575036,    -0.619772,     0.498765,            5,     0.428519,     0.528325,    -0.488701,     0.155867,            6,     0.431003,     0.502140,    -0.439849,     0.015201,            7,     0.427239,     0.471766,    -0.495370,    -0.156032,            8,     0.421184,     0.422856,    -0.612391,    -0.512857,            9,     0.465636,     0.338978,    -0.324482,    -1.207214,           10,     0.648971,     0.374122,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.387097,            0,            1,     0.707247,     0.521088,     1.254690,     0.133134,            2,     0.623640,     0.658052,     0.727903,     0.975649,            3,     0.485530,     0.677884,    -0.126416,     1.068854,            4,     0.400916,     0.591126,    -0.619772,     0.498765,            5,     0.412755,     0.533353,    -0.488701,     0.155867,            6,     0.416814,     0.502630,    -0.439849,     0.015201,            7,     0.411259,     0.466733,    -0.495370,    -0.156032,            8,     0.401429,     0.406312,    -0.612391,    -0.512857,            9,     0.455169,     0.300035,    -0.324482,    -1.207214,           10,     0.685241,     0.342788,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.419355,            0,            1,     0.747720,     0.525382,     1.254690,     0.133134,            2,     0.647121,     0.689524,     0.727903,     0.975649,            3,     0.481452,     0.712363,    -0.126416,     1.068854,            4,     0.380923,     0.607215,    -0.619772,     0.498765,            5,     0.396990,     0.538381,    -0.488701,     0.155867,            6,     0.402625,     0.503121,    -0.439849,     0.015201,            7,     0.395279,     0.461699,    -0.495370,    -0.156032,            8,     0.381674,     0.389768,    -0.612391,    -0.512857,            9,     0.444702,     0.261093,    -0.324482,    -1.207214,           10,     0.721512,     0.311454,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.451613,            0,            1,     0.788194,     0.529677,     1.254690,     0.133134,            2,     0.670602,     0.720997,     0.727903,     0.975649,            3,     0.477374,     0.746842,    -0.126416,     1.068854,            4,     0.360931,     0.623304,    -0.619772,     0.498765,            5,     0.381226,     0.543409,    -0.488701,     0.155867,            6,     0.388437,     0.503611,    -0.439849,     0.015201,            7,     0.379300,     0.456666,    -0.495370,    -0.156032,            8,     0.361920,     0.373225,    -0.612391,    -0.512857,            9,     0.434235,     0.222150,    -0.324482,    -1.207214,           10,     0.757782,     0.280119,     1.124388,    -0.971366,
       evolve,           10,     0.005000,        naive,       circle,     0.032258,          100,           21,           11,     0.483871,            0,            1,     0.828668,     0.533972,     1.254690,     0.133134,            2,     0.694083,     0.752470,     0.727903,     0.975649,            3,     0.473296,     0.781321,    -0.126416,     1.068854,            4,     0.340938,     0.639393,    -0.619772,     0.498765,            5,     0.365461,     0.548437,    -0.488701,     0.155867,            6,     0.374248,     0.504101,    -0.439849,     0.015201,            7,     0.363320,     0.451633,    -0.495370,    -0.156032,            8,     0.342165,     0.356681,    -0.612391,    -0.512857,            9,     0.423768,     0.183208,    -0.324482,    -1.207214,           10,     0.794053,     0.248785,     1.124388,    -0.971366,
