        NOTES,            N,           r0,           dT,           dt,          dtt,            t,           it,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         init,            3,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,            0,            1,     0.600000,     0.500000,    -0.100000,    -0.000000,            2,     0.450000,     0.586603,     0.050000,    -0.086603,            3,     0.450000,     0.413397,     0.050000,     0.086603,
          sim,            3,     0.010000,     4.000000,     0.400000,     0.000400,     0.400000,            0,            1,     0.560000,     0.500000,    -0.100000,    -0.000000,            2,     0.470000,     0.551962,     0.050000,    -0.086603,            3,     0.470000,     0.448038,     0.050000,     0.086603,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     0.800000,            0,            1,     0.522773,     0.500971,     0.009742,     0.021495,            2,     0.489447,     0.522940,     0.014737,     0.108407,            3,     0.487780,     0.476089,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     1.200000,            0,            1,     0.515618,     0.518519,    -0.019351,     0.035006,            2,     0.506393,     0.557353,     0.043830,     0.094896,            3,     0.477989,     0.424128,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     1.600000,            0,            1,     0.505959,     0.546611,    -0.031288,     0.064780,            2,     0.525844,     0.581221,     0.055767,     0.065122,            3,     0.468197,     0.372167,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     2.000000,            0,            1,     0.501699,     0.584102,    -0.019586,     0.094647,            2,     0.539895,     0.595691,     0.044065,     0.035256,            3,     0.458406,     0.320206,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     2.400000,            0,            1,     0.507811,     0.624740,     0.009400,     0.108386,            2,     0.543575,     0.607015,     0.015079,     0.021516,            3,     0.448614,     0.268245,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     2.800000,            0,            1,     0.523634,     0.660565,     0.039928,     0.098537,            2,     0.537543,     0.623151,    -0.015449,     0.031365,            3,     0.438823,     0.216284,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     3.200000,            0,            1,     0.543234,     0.686230,     0.055419,     0.070448,            2,     0.527735,     0.649447,    -0.030940,     0.059454,            3,     0.429031,     0.164323,    -0.024479,    -0.129902,
          ...,            3,     0.010000,     4.000000,     0.400000,     0.000400,     3.600000,            0,            1,     0.558626,     0.701907,     0.047460,     0.039374,            2,     0.522135,     0.685731,    -0.022981,     0.090529,            3,     0.419239,     0.112362,    -0.024479,    -0.129902,
