       origin,            N,           r0,   integrator,           ic,           dt,          div,           cc,          mcc,            t,       parity,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,            k,            x,            y,           vx,           vy,
         rand,           10,     0.005000,          sym,       circle,     0.100000,          100,            0,            0,     0.000000,            0,            1,     0.750000,     0.500000,    -1.000000,    -0.000000,            2,     0.702254,     0.646946,    -0.809020,    -0.587790,            3,     0.577254,     0.737764,    -0.309020,    -0.951060,            4,     0.422746,     0.737764,     0.309020,    -0.951060,            5,     0.297746,     0.646946,     0.809020,    -0.587790,            6,     0.250000,     0.500000,     1.000000,    -0.000000,            7,     0.297746,     0.353054,     0.809020,     0.587790,            8,     0.422746,     0.262236,     0.309020,     0.951060,            9,     0.577254,     0.262236,    -0.309020,     0.951060,           10,     0.702254,     0.353054,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.032258,            0,            1,     0.717742,     0.500000,    -1.000000,    -0.000000,            2,     0.676157,     0.627985,    -0.809020,    -0.587790,            3,     0.567286,     0.707085,    -0.309020,    -0.951060,            4,     0.432714,     0.707085,     0.309020,    -0.951060,            5,     0.323843,     0.627985,     0.809020,    -0.587790,            6,     0.282258,     0.500000,     1.000000,    -0.000000,            7,     0.323843,     0.372015,     0.809020,     0.587790,            8,     0.432714,     0.292915,     0.309020,     0.951060,            9,     0.567286,     0.292915,    -0.309020,     0.951060,           10,     0.676157,     0.372015,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.064516,            0,            1,     0.685484,     0.500000,    -1.000000,    -0.000000,            2,     0.650059,     0.609024,    -0.809020,    -0.587790,            3,     0.557317,     0.676405,    -0.309020,    -0.951060,            4,     0.442683,     0.676405,     0.309020,    -0.951060,            5,     0.349941,     0.609024,     0.809020,    -0.587790,            6,     0.314516,     0.500000,     1.000000,    -0.000000,            7,     0.349941,     0.390976,     0.809020,     0.587790,            8,     0.442683,     0.323595,     0.309020,     0.951060,            9,     0.557317,     0.323595,    -0.309020,     0.951060,           10,     0.650059,     0.390976,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.096774,            0,            1,     0.653226,     0.500000,    -1.000000,    -0.000000,            2,     0.623962,     0.590063,    -0.809020,    -0.587790,            3,     0.547349,     0.645726,    -0.309020,    -0.951060,            4,     0.452651,     0.645726,     0.309020,    -0.951060,            5,     0.376038,     0.590063,     0.809020,    -0.587790,            6,     0.346774,     0.500000,     1.000000,    -0.000000,            7,     0.376038,     0.409937,     0.809020,     0.587790,            8,     0.452651,     0.354274,     0.309020,     0.951060,            9,     0.547349,     0.354274,    -0.309020,     0.951060,           10,     0.623962,     0.409937,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.129032,            0,            1,     0.620968,     0.500000,    -1.000000,    -0.000000,            2,     0.597865,     0.571102,    -0.809020,    -0.587790,            3,     0.537381,     0.615047,    -0.309020,    -0.951060,            4,     0.462619,     0.615047,     0.309020,    -0.951060,            5,     0.402135,     0.571102,     0.809020,    -0.587790,            6,     0.379032,     0.500000,     1.000000,    -0.000000,            7,     0.402135,     0.428898,     0.809020,     0.587790,            8,     0.462619,     0.384953,     0.309020,     0.951060,            9,     0.537381,     0.384953,    -0.309020,     0.951060,           10,     0.597865,     0.428898,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.161290,            0,            1,     0.588710,     0.500000,    -1.000000,    -0.000000,            2,     0.571767,     0.552141,    -0.809020,    -0.587790,            3,     0.527412,     0.584367,    -0.309020,    -0.951060,            4,     0.472588,     0.584367,     0.309020,    -0.951060,            5,     0.428233,     0.552141,     0.809020,    -0.587790,            6,     0.411290,     0.500000,     1.000000,    -0.000000,            7,     0.428233,     0.447859,     0.809020,     0.587790,            8,     0.472588,     0.415633,     0.309020,     0.951060,            9,     0.527412,     0.415633,    -0.309020,     0.951060,           10,     0.571767,     0.447859,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.193548,            0,            1,     0.556452,     0.500000,    -1.000000,    -0.000000,            2,     0.545670,     0.533181,    -0.809020,    -0.587790,            3,     0.517444,     0.553688,    -0.309020,    -0.951060,            4,     0.482556,     0.553688,     0.309020,    -0.951060,            5,     0.454330,     0.533181,     0.809020,    -0.587790,            6,     0.443548,     0.500000,     1.000000,    -0.000000,            7,     0.454330,     0.466819,     0.809020,     0.587790,            8,     0.482556,     0.446312,     0.309020,     0.951060,            9,     0.517444,     0.446312,    -0.309020,     0.951060,           10,     0.545670,     0.466819,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,            0,            0,     0.225806,            0,            1,     0.524194,     0.500000,    -1.000000,    -0.000000,            2,     0.519572,     0.514220,    -0.809020,    -0.587790,            3,     0.507476,     0.523009,    -0.309020,    -0.951060,            4,     0.492524,     0.523009,     0.309020,    -0.951060,            5,     0.480428,     0.514220,     0.809020,    -0.587790,            6,     0.475806,     0.500000,     1.000000,    -0.000000,            7,     0.480428,     0.485780,     0.809020,     0.587790,            8,     0.492524,     0.476991,     0.309020,     0.951060,            9,     0.507476,     0.476991,    -0.309020,     0.951060,           10,     0.519572,     0.485780,    -0.809020,     0.587790,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,          245,           23,     0.258065,            0,            1,     0.539579,     0.479863,     0.897748,    -0.900658,            2,     0.524222,     0.536910,     0.535437,     1.170219,            3,     0.514786,     0.534544,     0.374538,     0.781047,            4,     0.487961,     0.536950,    -0.303151,     0.922239,            5,     0.468373,     0.522011,    -0.790516,     0.542430,            6,     0.461719,     0.499078,    -0.952778,    -0.032049,            7,     0.470089,     0.476252,    -0.747576,    -0.601628,            8,     0.496727,     0.466840,    -0.135793,    -0.720090,            9,     0.505518,     0.464185,     0.257835,    -0.941568,           10,     0.531025,     0.483367,     0.864256,    -0.219941,
       evolve,           10,     0.005000,          sym,       circle,     0.032258,          100,          545,           23,     0.290323,            0,            1,     0.559904,     0.460935,     0.587654,    -0.386888,            2,     0.535162,     0.571963,     0.314564,     1.132531,            3,     0.533200,     0.562435,     0.595411,     0.818735,            4,     0.478182,     0.566700,    -0.303151,     0.922239,            5,     0.442872,     0.539509,    -0.790516,     0.542430,            6,     0.430984,     0.498044,    -0.952778,    -0.032049,            7,     0.445974,     0.456844,    -0.747576,    -0.601628,            8,     0.499404,     0.441447,    -0.086750,    -0.660059,            9,     0.506778,     0.435976,     0.208792,    -1.001599,           10,     0.567539,     0.466147,     1.174349,    -0.733711,
